Common Name,Threatened status,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,Kingdom,Class
"Wyong Midge Orchid 1, Variable Midge Orchid 1",Critically Endangered,-,Yes,-,-,-,-,-,-,Plantae,Liliopsida
Tuncurry Midge Orchid,Critically Endangered,-,Yes,-,-,-,-,-,-,Plantae,Liliopsida
Wyong Midge Orchid 2,Critically Endangered,-,Yes,-,-,-,-,-,-,Plantae,Liliopsida
"Toothed Helmet-orchid, Finniss Helmet-orchid",Vulnerable,-,-,-,-,Yes,-,-,-,Plantae,Liliopsida
Small Helmet-orchid,Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Liliopsida
Grooved Helmet-orchid,Critically Endangered,-,-,-,-,-,Yes,-,-,Plantae,Liliopsida
-,Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida
Yellowjacket,Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida
-,Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida
Glen Geddes Bloodwood,Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida
Glenugie Karaka,Vulnerable,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
Cossinia,Endangered,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida
Preminghana Billybutton,Endangered,-,-,-,-,-,Yes,-,-,Plantae,Magnoliopsida
Dalhousie Hardyhead,Critically Endangered,-,-,-,-,Yes,-,-,-,Animalia,Actinopterygii
Murray Hardyhead,Endangered,-,Yes,-,-,Yes,-,Yes,-,Animalia,Actinopterygii
-,Endangered,-,-,-,Yes,-,-,-,-,Plantae,Liliopsida
Sloane's Froglet,Endangered,-,Yes,-,-,-,-,Yes,-,Animalia,Amphibia
Christmas Island Shrew,Critically Endangered,-,-,-,-,-,-,-,-,Animalia,Mammalia
Bahrs Scrub Croton,Critically Endangered,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida
"Christmas Island Blue-tailed Skink, Blue-tailed Snake-eyed Skink",Critically Endangered,-,-,-,-,-,-,-,-,Animalia,Reptilia
Arafura Snake-eyed Skink,Endangered,-,-,Yes,-,-,-,-,-,Animalia,Reptilia
"Stinking Cryptocarya, Stinking Laurel",Vulnerable,-,Yes,-,Yes,-,-,-,-,Plantae,Magnoliopsida
Leafless Tongue-orchid,Vulnerable,-,Yes,-,Yes,-,-,Yes,-,Plantae,Liliopsida
Yinnietharra Rock-Dragon,Vulnerable,-,-,-,-,-,-,-,Yes,Animalia,Reptilia
-,Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Polypodiatae
Lancelin Island Skink,Vulnerable,-,-,-,-,-,-,-,Yes,Animalia,Reptilia
Gravel Downs Ctenotus,Critically Endangered,-,-,-,Yes,-,-,-,-,Animalia,Reptilia
Hamelin Ctenotus,Vulnerable,-,-,-,-,-,-,-,Yes,Animalia,Reptilia
Wedge-leaf Tuckeroo,Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida
Boonah Tuckeroo,Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida
"Norfolk Island Green Parrot, Tasman Parakeet, Norfolk Island Parakeet",Endangered,-,-,-,-,-,-,-,-,Animalia,Aves
"Macquarie Island Red-fronted Parakeet, Red-crowned Parakeet (Macquarie Island)",Extinct,-,-,-,-,-,Yes,-,-,Animalia,Aves
"Lord Howe Tasman Parakeet, Red-crowned Parakeet (Lord Howe Island)",Extinct,-,Yes,-,-,-,-,-,-,Animalia,Aves
a tree-fern,Endangered,-,-,-,Yes,-,-,-,-,Plantae,Polypodiatae
a cycad,Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Cycadatae
-,Endangered,-,-,-,Yes,-,-,-,-,Plantae,Cycadatae
-,Endangered,-,-,-,Yes,-,-,-,-,Plantae,Cycadatae
a cycad,Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Cycadatae
-,Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Cycadatae
Alpine She-oak Skink,Endangered,-,Yes,-,-,-,-,Yes,-,Animalia,Reptilia
a shrub,Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida
Coxen's Fig-Parrot,Critically Endangered,-,Yes,-,Yes,-,-,-,-,Animalia,Aves
White-flowered Wax Plant,Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
-,Endangered,-,-,-,Yes,-,-,-,-,Plantae,Liliopsida
-,Vulnerable,-,Yes,-,Yes,-,-,-,-,Plantae,Liliopsida
-,Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
Christmas Island Giant Gecko,Endangered,-,-,-,-,-,-,-,-,Animalia,Reptilia
Bonville Leafless Orchid,Critically Endangered,-,Yes,-,-,-,-,-,-,Plantae,Liliopsida
Illawarra Socketwood,Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
Fine-leaved Darwinia,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Scarp Darwinia,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
-,Vulnerable,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
"Mogumber Bell, Narrogin Bell",Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Chapman's Bell,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Yellow Mountain Bell,Critically Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Scott River Darwinia,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Muchea Bell,Critically Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Mason's Darwinia,Vulnerable,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Cranbrook Bell,Vulnerable,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
"Success Bell, Red Mountain Bell",Vulnerable,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Gillam's Bell,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Harlequin Bell,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
"Fringed Mountain Bell, Pink Mountain Bell",Vulnerable,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Abba Bell,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Wittwer's Mountain Bell,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Native Foxglove,Critically Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Eastern Bristlebird,Endangered,-,Yes,-,Yes,-,-,Yes,-,Animalia,Aves
"Rufous Bristlebird (western), South-western Rufous Bristlebird",Extinct,-,-,-,-,-,-,-,Yes,Animalia,Aves
Western Bristlebird,Endangered,-,-,-,-,-,-,-,Yes,Animalia,Aves
"Kowari, brushy-tailed marsupial rat, Byrne's crest-tailed marsupial rat",Endangered,-,-,Yes,Yes,Yes,-,-,-,Animalia,Mammalia
"Chuditch, Western Quoll",Vulnerable,Yes,Yes,Yes,Yes,Yes,-,Yes,Yes,Animalia,Mammalia
"Northern Quoll, Digul [Gogo-Yimidir], Wijingadda [Dambimangari], Wiminji [Martu]",Endangered,-,-,Yes,Yes,-,-,-,Yes,Animalia,Mammalia
"Spotted-tailed Quoll (North Queensland), Yarri",Endangered,-,-,-,Yes,-,-,-,-,Animalia,Mammalia
"Spot-tailed Quoll, Spotted-tail Quoll, Tiger Quoll (southeastern mainland population)",Endangered,Yes,Yes,-,Yes,Yes,-,Yes,-,Animalia,Mammalia
"Spotted-tail Quoll, Spot-tailed Quoll, Tiger Quoll (Tasmanian population)",Vulnerable,-,-,-,-,-,Yes,-,-,Animalia,Mammalia
"Eastern Quoll, Luaner",Endangered,Yes,Yes,-,-,Yes,Yes,Yes,-,Animalia,Mammalia
Davidson's Plum,Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
"Smooth Davidsonia, Smooth Davidson's Plum, Small-leaved Davidson's Plum",Endangered,-,Yes,-,Yes,-,-,-,-,Plantae,Magnoliopsida
Three Springs Daviesia,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Cunderdin Daviesia,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Diels' Daviesia,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
-,Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida
Long-leaved Daviesia,Vulnerable,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Wongan Cactus,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Maroon-flowered Daviesia,Critically Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Grampians Bitter-pea,Vulnerable,-,-,-,-,-,-,Yes,-,Plantae,Magnoliopsida
Long-sepalled Daviesia,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Norseman Pea,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Paddle-leaf Daviesia,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Broad-leaf Daviesia,Critically Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Stirling Range Daviesia,Critically Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Beautiful Daviesia,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Struck Oil Myrtle,Critically Endangered,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida
"Striped Legless Lizard, Striped Snake-lizard",Vulnerable,Yes,Yes,-,-,Yes,-,Yes,-,Animalia,Reptilia
"Atherton Delma, Legless Lizard",Vulnerable,-,-,-,Yes,-,-,-,-,Animalia,Reptilia
"Adorned Delma, Collared Delma",Vulnerable,-,-,-,Yes,-,-,-,-,Animalia,Reptilia
Hunter Valley Delma,Endangered,-,Yes,-,-,-,-,-,-,Animalia,Reptilia
Antelope Orchid,Endangered,-,-,-,Yes,-,-,-,-,Plantae,Liliopsida
Cooktown Orchid,Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Liliopsida
Norfolk Island Orchid,Endangered,-,-,-,-,-,-,-,-,Plantae,Liliopsida
Chocolate Tea Tree Orchid,Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Liliopsida
"Dark-stemmed Antler Orchid, Mangrove Orchid",Endangered,-,-,-,Yes,-,-,-,-,Plantae,Liliopsida
an orchid,Endangered,-,-,-,Yes,-,-,-,-,Plantae,Liliopsida
Cauliflower Soft Coral,Endangered,-,Yes,-,Yes,-,-,-,-,Animalia,Anthozoa
Large-fruited Denhamia,Endangered,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida
Small-leaved Denhamia,Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida
Ornamental Snake,Vulnerable,-,-,-,Yes,-,-,-,-,Animalia,Reptilia
"Leatherback Turtle, Leathery Turtle, Luth",Endangered,-,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Animalia,Reptilia
Thorny Pea,Vulnerable,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
-,Endangered,-,Yes,-,-,-,-,-,-,Plantae,Liliopsida
"Drummond's Grass, Drummond Grass",Endangered,-,-,-,-,-,-,-,Yes,Plantae,Liliopsida
-,Extinct,-,-,-,-,-,Yes,-,-,Plantae,Liliopsida
Narrow-leaf Bent-grass,Vulnerable,-,-,-,-,-,-,Yes,-,Plantae,Liliopsida
Climbing Bent-grass,Critically Endangered,-,-,-,-,-,-,Yes,-,Plantae,Liliopsida
Skirted Bent-grass,Endangered,-,Yes,-,-,-,-,Yes,-,Plantae,Liliopsida
Matted Flax-lily,Endangered,-,-,-,-,-,Yes,Yes,-,Plantae,Liliopsida
King Blue-grass,Endangered,-,-,-,Yes,-,-,-,-,Plantae,Liliopsida
bluegrass,Vulnerable,-,Yes,-,Yes,-,-,-,-,Plantae,Liliopsida
-,Extinct,-,-,-,Yes,-,-,-,-,Plantae,Polypodiatae
-,Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
Amsterdam Albatross,Endangered,-,Yes,-,-,Yes,Yes,Yes,Yes,Animalia,Aves
Antipodean Albatross,Vulnerable,-,Yes,-,Yes,Yes,Yes,Yes,Yes,Animalia,Aves
Gibson's Albatross,Vulnerable,-,Yes,-,Yes,-,Yes,Yes,-,Animalia,Aves
Tristan Albatross,Endangered,-,-,-,-,Yes,-,-,Yes,Animalia,Aves
Southern Royal Albatross,Vulnerable,-,Yes,-,Yes,Yes,Yes,Yes,Yes,Animalia,Aves
Wandering Albatross,Vulnerable,-,Yes,-,Yes,Yes,Yes,Yes,Yes,Animalia,Aves
Northern Royal Albatross,Endangered,-,Yes,-,Yes,Yes,Yes,Yes,Yes,Animalia,Aves
"Red-fruited Ebony, Silky Persimmon, Ebony",Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
-,Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Polypodiatae
-,Endangered,-,-,-,Yes,-,-,-,-,Plantae,Polypodiatae
Small-leaved Tamarind,Endangered,-,Yes,-,Yes,-,-,-,-,Plantae,Magnoliopsida
-,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Bell Flower Hyacinth Orchid,Endangered,-,-,-,-,Yes,-,Yes,-,Plantae,Liliopsida
-,Endangered,-,-,-,Yes,-,-,-,-,Plantae,Liliopsida
-,Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida
Buttercup Doubletail,Endangered,-,Yes,-,-,-,-,-,-,Plantae,Liliopsida
"Small Golden Moths Orchid, Early Golden Moths",Endangered,-,-,-,-,-,-,Yes,-,Plantae,Liliopsida
-,Extinct,-,Yes,-,-,-,-,-,-,Plantae,Liliopsida
Tall Donkey Orchid,Vulnerable,-,-,-,-,-,-,-,Yes,Plantae,Liliopsida
-,Endangered,-,Yes,-,-,-,-,-,-,Plantae,Liliopsida
"Pale Yellow Doubletail, Wingham Doubletail",Critically Endangered,-,Yes,-,-,-,-,-,-,Plantae,Liliopsida
"Sunshine Diuris, Fragrant Doubletail, White Diuris",Endangered,-,-,-,-,-,-,Yes,-,Plantae,Liliopsida
Snake Orchid,Endangered,-,-,-,-,-,Yes,-,-,Plantae,Liliopsida
Dwarf Bee-orchid,Vulnerable,-,-,-,-,-,-,-,Yes,Plantae,Liliopsida
Pale Golden Moths,Vulnerable,-,Yes,-,-,-,-,Yes,-,Plantae,Liliopsida
"Small Snake Orchid, Two-leaved Golden Moths, Golden Moths, Cowslip Orchid, Snake Orchid",Endangered,-,Yes,-,-,-,-,-,-,Plantae,Liliopsida
Newcastle Doubletail,Vulnerable,-,Yes,-,-,-,-,-,-,Plantae,Liliopsida
Purdie's Donkey-orchid,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Liliopsida
"Veined Doubletail, Goat Orchid, Veined Donkey-orchid",Vulnerable,-,Yes,-,-,-,-,-,-,Plantae,Liliopsida
Trailing Hop-bush,Vulnerable,Yes,Yes,-,-,Yes,-,Yes,-,Plantae,Magnoliopsida
Velvet Hopbush,Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida
Peep Hill Hop-bush,Endangered,-,-,-,-,Yes,-,-,-,Plantae,Magnoliopsida
Kneeling Hammer-orchid,Vulnerable,-,-,-,-,-,-,-,Yes,Plantae,Liliopsida
Late Hammer-orchid,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Liliopsida
"Glossy-leafed Hammer Orchid, Glossy-leaved Hammer Orchid,  Warty Hammer Orchid",Endangered,-,-,-,-,-,-,-,Yes,Plantae,Liliopsida
Lonely Hammer-orchid,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Liliopsida
Dwarf Hammer-orchid,Vulnerable,-,-,-,-,-,-,-,Yes,Plantae,Liliopsida
King Island Emu,Extinct,-,-,-,-,-,Yes,-,-,Animalia,Aves
Kangaroo Island Emu,Extinct,-,-,-,-,Yes,-,-,-,Animalia,Aves
"Tasmanian Emu, Emu (Tasmanian)",Extinct,-,-,-,-,-,Yes,-,-,Animalia,Aves
-,Critically Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
-,Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida
-,Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida
Morseby Range Drummondita,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Peak Charles Drummondita,Vulnerable,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
"Lord Howe Island Phasmid, Land Lobster",Critically Endangered,-,Yes,-,-,-,-,-,-,Animalia,Insecta
Remote Thorny Lignum,Critically Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
"Sharkwood, a tree",Vulnerable,-,-,-,-,-,-,-,-,Plantae,Magnoliopsida
"Kaputar Rock Skink, Mt Kaputar Rock Skink",Critically Endangered,-,Yes,-,-,-,-,-,-,Animalia,Reptilia
Yakka Skink,Vulnerable,-,-,-,Yes,-,-,-,-,Animalia,Reptilia
"Western Spiny-tailed Skink, Baudin Island Spiny-tailed Skink",Endangered,-,-,-,-,-,-,-,Yes,Animalia,Reptilia
Nightcap Oak,Critically Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
-,Endangered,-,-,Yes,-,-,-,-,-,Plantae,Magnoliopsida
Minyon Quandong,Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
Hairy Quandong,Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
Mountain Procris,Critically Endangered,-,-,-,-,-,-,-,-,Plantae,Magnoliopsida
Keighery's Eleocharis,Vulnerable,-,-,-,-,-,-,-,Yes,Plantae,Liliopsida
a spike rush,Vulnerable,-,Yes,-,-,-,-,Yes,-,Plantae,Liliopsida
Dwarf Desert Spike-rush,Vulnerable,-,-,Yes,-,Yes,-,-,Yes,Plantae,Liliopsida
a sedge,Vulnerable,-,-,Yes,Yes,-,-,-,-,Plantae,Liliopsida
"Southern Snapping Turtle, White-throated Snapping Turtle",Critically Endangered,-,-,-,Yes,-,-,-,-,Animalia,Reptilia
"Irwin's Turtle, White-headed Snapping Turtle",Vulnerable,-,-,-,Yes,-,-,-,-,Animalia,Reptilia
Gulf Snapping Turtle,Endangered,-,-,Yes,Yes,-,-,-,-,Animalia,Reptilia
"Mary River Turtle, Mary River Tortoise",Critically Endangered,-,-,-,Yes,-,-,-,-,Animalia,Reptilia
"Christmas Island Forest Skink, Christmas Island Whiptail-skink",Extinct,-,-,-,-,-,-,-,-,Animalia,Reptilia
"Jardine River Turtle, Red-flushed River Turtle",Critically Endangered,-,-,-,Yes,-,-,-,-,Animalia,Reptilia
-,Endangered,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida
"Floyd's Walnut, Crystal Creek Walnut",Endangered,-,Yes,-,Yes,-,-,-,-,Plantae,Magnoliopsida
"Rusty Rose Walnut, Velvet Laurel",Vulnerable,-,Yes,-,Yes,-,-,-,-,Plantae,Magnoliopsida
Central North Burrowing Crayfish,Endangered,-,-,-,-,-,Yes,-,-,Animalia,Malacostraca
Furneaux Burrowing Crayfish,Endangered,-,-,-,-,-,Yes,-,-,Animalia,Malacostraca
Mount Arthur Burrowing Crayfish,Vulnerable,-,-,-,-,-,Yes,-,-,Animalia,Malacostraca
Scottsdale Burrowing Crayfish,Endangered,-,-,-,-,-,Yes,-,-,Animalia,Malacostraca
Burnie Burrowing Crayfish,Vulnerable,-,-,-,-,-,Yes,-,-,Animalia,Malacostraca
Margaret River Burrowing Crayfish,Critically Endangered,-,-,-,-,-,-,-,Yes,Animalia,Malacostraca
Dunsborough Burrowing Crayfish,Critically Endangered,-,-,-,-,-,-,-,Yes,Animalia,Malacostraca
Walpole Burrowing Crayfish,Endangered,-,-,-,-,-,-,-,Yes,Animalia,Malacostraca
Apsley Heath,Endangered,-,-,-,-,-,Yes,-,-,Plantae,Magnoliopsida
"Bearded Heath, Freycinet Heath",Endangered,-,-,-,-,-,Yes,-,-,Plantae,Magnoliopsida
South Esk Heath,Endangered,-,-,-,-,-,Yes,-,-,Plantae,Magnoliopsida
"Funnel Heath, Smooth Heath",Endangered,-,-,-,-,-,Yes,-,-,Plantae,Magnoliopsida
"Grand Heath, Tall Heath",Endangered,-,-,-,-,-,Yes,-,-,Plantae,Magnoliopsida
"Mt Cameron Heath, Granite Heath",Critically Endangered,-,-,-,-,-,Yes,-,-,Plantae,Magnoliopsida
-,Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
"Border Heath, Bordered Heath",Critically Endangered,-,-,-,-,-,Yes,-,-,Plantae,Magnoliopsida
-,Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
"Southport Heath, Stuart's Heath",Critically Endangered,-,-,-,-,-,Yes,-,-,Plantae,Magnoliopsida
"Pretty Heath, Dan Hill Heath",Endangered,-,-,-,-,-,Yes,-,-,Plantae,Magnoliopsida
Bog Willow-herb,Vulnerable,-,-,-,-,-,-,Yes,-,Plantae,Magnoliopsida
"Black Rockcod, Black Cod, Saddled Rockcod",Vulnerable,-,Yes,-,Yes,-,-,Yes,-,Animalia,Actinopterygii
"Capricorn Yellow Chat, Yellow Chat (Dawson)",Critically Endangered,-,-,-,Yes,-,-,-,-,Animalia,Aves
"Alligator Rivers Yellow Chat, Yellow Chat (Alligator Rivers)",Endangered,-,-,Yes,-,-,-,-,-,Animalia,Aves
-,Endangered,-,-,-,Yes,-,-,-,-,Plantae,Liliopsida
-,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Fitzgerald Eremophila,Vulnerable,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Cumquat Eremophila,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
-,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
-,Critically Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
"Koobabbie Eremophila, Koobabbie Poverty Bush",Critically Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Milky Emu Bush,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Silky Eremophila,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Pinnate-leaf Eremophila,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Rainbow Valley Fuchsia Bush,Vulnerable,-,-,Yes,-,-,-,-,-,Plantae,Magnoliopsida
Resinous Eremophila,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Beaked Eremophila,Critically Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Rough Emu Bush,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
-,Critically Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Lake King Eremophila,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Wongan Eremophila,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Resinous Poverty Bush,Vulnerable,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Whorled Eremophila,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
"Campion Eremophila, Green-flowered Emu bush",Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Varnish Bush,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Hawksbill Turtle,Vulnerable,-,Yes,Yes,Yes,-,-,-,Yes,Animalia,Reptilia
"Austral Pipewort, Southern Pipewort",Endangered,-,Yes,-,-,Yes,-,Yes,-,Plantae,Liliopsida
"Salt Pipewort, Button Grass",Endangered,-,Yes,-,Yes,Yes,-,-,-,Plantae,Liliopsida
Blue Devil,Endangered,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida
Red Goshawk,Endangered,-,Yes,Yes,Yes,-,-,-,Yes,Animalia,Aves
-,Vulnerable,-,-,Yes,-,-,-,-,-,Plantae,Magnoliopsida
Gouldian Finch,Endangered,-,-,Yes,Yes,-,-,-,Yes,Animalia,Aves
"Narrow Euastacus, Slender Dwarf Crayfish, Narrow Dwarf Crayfish",Critically Endangered,-,Yes,-,-,-,-,-,-,Animalia,Malacostraca
Murray Crayfish,Vulnerable,Yes,Yes,-,-,-,-,Yes,-,Animalia,Malacostraca
Balan Spiny Crayfish,Endangered,-,-,-,Yes,-,-,-,-,Animalia,Malacostraca
"Bidhawal Crayfish, Bidawal Crayfish, East Gippsland Spiny Crayfish",Endangered,-,Yes,-,-,-,-,Yes,-,Animalia,Malacostraca
Mt Elliot Crayfish,Critically Endangered,-,-,-,Yes,-,-,-,-,Animalia,Malacostraca
Embezee's Crayfish,Critically Endangered,-,-,-,Yes,-,-,-,-,Animalia,Malacostraca
"Glenelg Spiny Freshwater Crayfish, Pricklyback",Endangered,-,-,-,-,Yes,-,Yes,-,Animalia,Malacostraca
"Ellen Clark's Crayfish, Clark's Crayfish",Endangered,-,Yes,-,-,-,-,-,-,Animalia,Malacostraca
Mud Gully Crayfish,Critically Endangered,-,Yes,-,Yes,-,-,-,-,Animalia,Malacostraca
Fitzroy Falls Spiny Crayfish,Critically Endangered,-,Yes,-,-,-,-,-,-,Animalia,Malacostraca
Orbost Spiny Crayfish,Endangered,-,-,-,-,-,-,Yes,-,Animalia,Malacostraca
Eungella Spiny Crayfish,Endangered,-,-,-,Yes,-,-,-,-,Animalia,Malacostraca
"Flecker's Crayfish, Red and Blue Spiny Crayfish",Endangered,-,-,-,Yes,-,-,-,-,Animalia,Malacostraca
"Gamilaroi Crayfish, Gamilaroi Spiny Crayfish, Hanging Rock Crayfish",Endangered,-,Yes,-,-,-,-,-,-,Animalia,Malacostraca
Smooth Crayfish,Endangered,-,Yes,-,-,-,-,-,-,Animalia,Malacostraca
"Bloodclaw Crayfish, Blood Crayfish",Endangered,-,Yes,-,-,-,-,-,-,Animalia,Malacostraca
Swollen Crayfish,Critically Endangered,-,Yes,-,-,-,-,-,-,Animalia,Malacostraca
Tianjara Crayfish,Critically Endangered,-,Yes,-,-,-,-,-,-,Animalia,Malacostraca
Conondale Spiny Crayfish,Endangered,-,-,-,Yes,-,-,-,-,Animalia,Malacostraca
Blue-black Crayfish,Critically Endangered,-,Yes,-,-,-,-,-,-,Animalia,Malacostraca
Jagara Hairy Crayfish,Critically Endangered,-,-,-,Yes,-,-,-,-,Animalia,Malacostraca
Terrestrial Crayfish,Endangered,-,Yes,-,-,-,-,-,-,Animalia,Malacostraca
"Hinterland Spiny Crayfish, Hinterland Crayfish",Critically Endangered,-,-,-,Yes,-,-,-,-,Animalia,Malacostraca
Orange-bellied Crayfish,Endangered,-,Yes,-,Yes,-,-,-,-,Animalia,Malacostraca
"Monteith's Crayfish, Monteith's Spiny Crayfish",Endangered,-,-,-,Yes,-,-,-,-,Animalia,Malacostraca
Morgan's Crayfish,Critically Endangered,-,Yes,-,-,-,-,-,-,Animalia,Malacostraca
Many-bristled Crayfish,Endangered,-,Yes,-,-,-,-,-,-,Animalia,Malacostraca
Riek's Crayfish,Endangered,Yes,Yes,-,-,-,-,-,-,Animalia,Malacostraca
"Robert's Crayfish, Robert's Spiny Crayfish",Endangered,-,-,-,Yes,-,-,-,-,Animalia,Malacostraca
"Simple Crayfish, Small Mountain Crayfish",Endangered,-,Yes,-,-,-,-,-,-,Animalia,Malacostraca
"Coughran's Crayfish, Arte Spiny Crayfish",Endangered,-,-,-,-,-,-,Yes,-,Animalia,Malacostraca
Small Crayfish,Endangered,-,Yes,-,-,-,-,-,-,Animalia,Malacostraca
