Species,Common_name,Official_country,Probable_starting_year_adjusted,Probable_ending_year_adjusted,Cost_estimate_per_year_2017_USD_exchange_rate,Impacted_sector,Type_of_cost,Method_reliability
Acacia sp.,Wattles,South Africa,2007,2010,24.84,Authorities-Stakeholders,Control,High
Chromolaena odorata,Triffid weed,South Africa,2006,2006,936.26,Authorities-Stakeholders,Control,High
Lespedeza cuneata,sericea,United States of America,2015,2030,827.35,Authorities-Stakeholders,Eradication,High
Eucalyptus sp.,Eucalyptus,South Africa,2002,2002,218.15,Authorities-Stakeholders,Control,High
Acacia saligna,Port Jackson willow,South Africa,1992,1996,257.82,Authorities-Stakeholders,Control,High
Diverse/Unspecified,Pines and hakeas,South Africa,2005,2005,222.50,Authorities-Stakeholders,Control,High
Acacia saligna,Port Jackson willow,South Africa,1992,1996,264.22,Authorities-Stakeholders,Control,High
Diverse/Unspecified,Diverse/Unspecified,South Africa,,,,Authorities-Stakeholders,Eradication,High
Diverse/Unspecified,Diverse/Unspecified,Spain,2018,2018,1004.32,Authorities-Stakeholders,Monitoring,High
Psidium guajava,Guava,Swaziland,2008,2009,177.04,Agriculture/Environment,Control,High
Acacia saligna,Port Jackson willow,South Africa,1992,1996,298.77,Authorities-Stakeholders,Control,High
Myriophyllum spicatum,Eurasian watermilfoil,Canada,1991,1991,1023.63,Public and social welfare,Damage-Loss,High
Diverse/Unspecified,"Tall trees other than acacia, eucalyptus, pines and hakeas",South Africa,2009,2009,263.57,Authorities-Stakeholders,Control,High
Psidium guajava,Guava,Swaziland,2008,2009,134.78,Agriculture/Environment,Control,High
Prosopis juliflora,Mesquite,Ethiopia/Kenya,2010,,,Agriculture,Control,Low
Spartina spp.,Cordgrass,United States of America,2012,2012,1067.62,Agriculture/Environment/Forestry,Damage-Loss,High
Hieracium spp.,Hawkweeds (meadow and orange),United States of America,2012,2012,1067.62,Agriculture/Environment/Forestry,Damage-Loss,High
Spartina spp.,Cordgrass,United States of America,2012,2012,1067.62,Public and social welfare,Damage-Loss,High
Hieracium spp.,Hawkweeds (meadow and orange),United States of America,2012,2012,1067.62,Public and social welfare,Damage-Loss,High
Diverse/Unspecified,noxious weeds- all species listed,United States of America,2012,2012,1067.62,Agriculture/Environment/Forestry,Control,High
Diverse/Unspecified,noxious weeds- all species listed,United States of America,2012,2012,1067.62,Agriculture/Environment/Forestry,Control,High
Diverse/Unspecified,noxious weeds- all species listed,United States of America,2012,2012,1067.62,Agriculture/Environment/Forestry,Control,High
Ambrosia sp.,Ragweed,Spain,1999,2009,144.87,Authorities-Stakeholders,Control,High
Panicum repens,Torpedograss,Spain,1999,2009,144.87,Authorities-Stakeholders,Control,High
Salvinia molesta,Kariba weed,Senegal,2000,2000,1423.46,Authorities-Stakeholders,Control,High
Salvinia molesta,Kariba weed,Senegal/Mauritania,2000,2000,1423.46,Authorities-Stakeholders,Control,High
Rastrococcus invadens,Fruit tree mealybug,Togo,1991,1991,1799.81,Agriculture,Control,High
Selenochlamys spp.,ghost slug,United Kingdom,2008,2008,1736.95,Authorities-Stakeholders,Research,High
Portunus pelagicus,blue swimming crab,Tunisia,2018,2018,374.33,Authorities-Stakeholders,Damage-Loss,Low
Azolla filiculoides,Red water fern,South Africa,2000,2000,1477.55,Agriculture/Authorities-Stakeholders/Public and social welfare,Control,High
Diverse/Unspecified,Pines and hakeas,South Africa,2004,2004,302.47,Authorities-Stakeholders,Control,High
Pinus monophylla/Juniperus osteosperma,single-leaf pinyon and Utah juniper,United States of America,2006,2010,1381.29,Environment,Control,High
Hieracium sp.,hawkweed,Canada,2009,2012,304.83,Authorities-Stakeholders,Control,High
Diverse/Unspecified,"Tall trees other than acacia, eucalyptus, pines and hakeas",South Africa,2008,2008,328.04,Authorities-Stakeholders,Control,High
Ludwigia grandiflora/Ludwigia peploides,Water primrose,France,2013,2013,1697.91,Authorities-Stakeholders,Control,High
Pinus monophylla/Juniperus osteosperma,single-leaf pinyon and Utah juniper,United States of America,2006,2010,1577.05,Environment,Control,High
Mikania micrantha,mile-a-minute weed,India,1997,1999,13.69,Forestry,Control,High
Acacia sp.,Acacia,South Africa,1999,1999,381.62,Authorities-Stakeholders,Control,High
Brachiaria mutica,Paragrass,United States of America,2006,2006,1707.15,Authorities-Stakeholders,Control/Management,High
Centaurea trichocephala,featherhead knapweed,United States of America,2005,2009,320.60,Authorities-Stakeholders,Eradication,High
Cytisus scoparius,Scotch broom,Canada,2009,2009,1523.19,Authorities-Stakeholders,Control,High
Tamarix chinensis,saltcedar,United States of America,1998,1998,2208.97,Authorities-Stakeholders,Control,Low
Drosophila suzukii,spotted-wing drosophila,Switzerland,2017,2017,1550.51,Agriculture,Control,High
Diverse/Unspecified,noxious weeds- all species listed,United States of America,2012,2012,1601.43,Agriculture/Environment/Forestry,Control,High
Acacia sp.,Acacia,South Africa,1998,1998,409.37,Authorities-Stakeholders,Control,High
Cenchrus clandestinus,Kikuyu grass,South Africa,2007,2010,51.30,Authorities-Stakeholders,Control,High
Alopochen aegyptiaca,Egyptian goose,United Kingdom,2010,2010,2801.69,Agriculture,Control,High
Diverse/Unspecified,Trees (Acacias and pines),South Africa,1996,2001,327.29,Authorities-Stakeholders,Damage repair,High
Solanum tampicense,Aquatic nightshade,United States of America,2006,2006,2019.65,Authorities-Stakeholders,Control/Management,High
Diverse/Unspecified,Invasive plant species,Spain,2008,2020,146.20,Authorities-Stakeholders,Education/Information,High
Phragmites australis,Common reed,United States of America,2003,2008,322.57,Authorities-Stakeholders,Control,High
Salvinia molesta,Giant salvinia,United States of America,2007,2007,2045.20,Authorities-Stakeholders,Control/Management,High
Acacia sp.,Wattles,South Africa,2007,2010,56.70,Authorities-Stakeholders,Control,High
Neustanthus phaseoloides,tropical kudzu,Ecuador,2004,2009,335.85,Authorities-Stakeholders,Eradication,High
Ziziphus mauritiana,chinee apple,Australia,2015,2065,1396.17,Agriculture/Environment,Management,High
Cortaderia selloana,Pampas grass,Spain,2019,2019,2038.10,Authorities-Stakeholders,Control,High
Diverse/Unspecified,"Tall trees other than acacia, eucalyptus, pines and hakeas",South Africa,2007,2007,489.88,Authorities-Stakeholders,Control,High
Diverse/Unspecified,Trees (Acacias and pines),South Africa,1996,2004,243.99,Authorities-Stakeholders,Control,High
Acacia saligna,Port Jackson willow,South Africa,1992,1996,581.22,Authorities-Stakeholders,Control,High
Sesbania punicea,Red sesbania,South Africa,2000,2000,383.56,Authorities-Stakeholders,Damage-Loss,Low
Tamarix spp.,saltcedar,United States of America,,,,Authorities-Stakeholders,Control,Low
Acacia saligna,Port Jackson willow,South Africa,1992,1996,614.17,Authorities-Stakeholders,Control,High
Mikania micrantha,mile-a-minute weed,India,1997,1999,22.08,Agriculture/Environment/Health/Public and social welfare,Control,High
Diverse/Unspecified,"Tall trees other than acacia, eucalyptus, pines and hakeas",South Africa,2008,2008,535.31,Authorities-Stakeholders,Control,High
Centaurea affinis/Centaurea stoebe,spotted knapweed,United States of America,2009,2009,2285.10,Authorities-Stakeholders,Damage repair,Low
Hakea sericea,Silky hakea/Needlebush,Spain,1999,2009,289.75,Authorities-Stakeholders,Control,High
Sapindus saponaria,Wingleaf soapberry,Ecuador,2002,2007,394.07,Authorities-Stakeholders,Eradication,High
Persea americana,NA,Ecuador,2002,2008,337.77,Authorities-Stakeholders,Eradication,High
Arundo donax,Pampas grass,Spain,2016,2016,2264.55,Authorities-Stakeholders,Control,High
Diverse/Unspecified,Diverse/Unspecified,Spain,2017,2017,2264.55,Authorities-Stakeholders,Control,High
Diverse/Unspecified,Diverse/Unspecified,Spain,2020,2020,2264.55,Authorities-Stakeholders,Control,High
Acacia mearnsii,Black wattle,South Africa,1995,2030,483.16,Agriculture,Control,High
Acacia sp.,Acacia,South Africa,1998,1998,561.15,Authorities-Stakeholders,Control,High
Eucalyptus sp.,Gum trees,South Africa,2007,2010,67.13,Authorities-Stakeholders,Control,High
Acacia saligna,Port Jackson willow,South Africa,1992,1996,693.50,Authorities-Stakeholders,Control,High
Cortaderia selloana,Pampas grass,Spain,2018,2018,2491.01,Authorities-Stakeholders,Control,High
Colocasia esculenta,Wild taro,United States of America,2007,2007,2603.20,Authorities-Stakeholders,Control/Management,High
Psidium guajava,Guava,Swaziland,2008,2009,317.24,Agriculture/Environment,Control,High
Pinus monophylla/Juniperus osteosperma,single-leaf pinyon and Utah juniper,United States of America,2006,2010,2807.56,Environment,Control,High
Psidium guajava,Guava,Swaziland,2008,2009,320.00,Agriculture/Environment,Control,High
Hakea sericea,Silky Hakea,South Africa,2000,2000,494.33,Authorities-Stakeholders,Damage-Loss,Low
Salvinia molesta,Kariba weed,Sri Lanka,1980,1980,3137.87,Public and social welfare,Control,Low
Cortaderia selloana,Pampas grass,Spain,2017,2017,2830.69,Authorities-Stakeholders,Control,High
Cenchrus clandestinus,Kikuyu grass,South Africa,2007,2010,83.16,Authorities-Stakeholders,Control,High
Acacia saligna,Port Jackson willow,South Africa,1992,1996,867.20,Authorities-Stakeholders,Control,High
Prosopis juliflora,Mesquite,Ethiopia/Kenya,2009,,,Agriculture,Control,Low
Diverse/Unspecified,Trees (Acacias and pines),South Africa,1996,1996,3456.86,Authorities-Stakeholders,Damage repair,High
Diverse/Unspecified,"Tall trees other than acacia, eucalyptus, pines and hakeas",South Africa,2007,2007,799.15,Authorities-Stakeholders,Control,High
Ammotragus lervia,Arrui,Spain,2018,2018,3452.57,Authorities-Stakeholders,Detection/Monitoring,High
Ammotragus lervia,Arrui,Spain,2016,2016,3385.74,Authorities-Stakeholders,Detection/Monitoring,High
Ammotragus lervia,Arrui,Spain,2017,2017,3383.34,Authorities-Stakeholders,Detection/Monitoring,High
Ammotragus lervia,Arrui,Spain,2019,2019,3391.11,Authorities-Stakeholders,Detection/Monitoring,High
Salvinia molesta,Kariba weed,Zimbabwe,1989,1989,2796301.50,Authorities-Stakeholders,Control,High
Cortaderia selloana,Pampas grass,Spain,2016,2016,3396.83,Authorities-Stakeholders,Control,High
Diverse/Unspecified,Diverse/Unspecified,United Kingdom,2010,2010,5210.84,Authorities-Stakeholders,Research,High
Eucalyptus sp.,Gum trees,South Africa,2007,2010,98.99,Authorities-Stakeholders,Control,High
Dreissena polymorpha,Zebra mussel,United States of America,2005,2005,72777.14,Authorities-Stakeholders,Control,High
Diverse/Unspecified,Invasive plant species,Spain,2008,2020,278.53,Authorities-Stakeholders,Control,High
Neovison vison,American mink,Spain,2014,2014,4401.75,Authorities-Stakeholders,Control,High
Diverse/Unspecified,Invasive animal species,Spain,2008,2020,289.82,Authorities-Stakeholders,Education/Information,High
Centaurea affinis/Centaurea stoebe,spotted knapweed,United States of America,2009,2009,3884.68,Authorities-Stakeholders,Control,Low
Acacia longifolia,Long-leaved wattle,South Africa,2000,2000,699.44,Authorities-Stakeholders,Damage-Loss,Low
Eichhornia crassipes,water hyacinth,South Africa,1990,1990,1518.95,Authorities-Stakeholders,Control,High
Cortaderia selloana,Pampas grass,Spain,2015,2015,3962.97,Authorities-Stakeholders,Control,High
Diverse/Unspecified,Diverse/Unspecified,Spain,2018,2018,3962.97,Authorities-Stakeholders,Control,High
Neovison vison,American mink,Spain,2012,2012,4855.71,Authorities-Stakeholders,Control,High
Centaurea calcitrapa,purple starthistle,United States of America,2000,2000,5064.67,Agriculture/Environment,Management,High
Eichhornia crassipes,water hyacinth,South Africa,1997,1997,1585.56,Authorities-Stakeholders,Control,High
Acacia pycnantha,Golden wattle,South Africa,2000,2000,738.41,Authorities-Stakeholders,Damage-Loss,Low
Diverse/Unspecified,Invasive plant species,Spain,2008,2020,317.04,Authorities-Stakeholders,Control,High
Diverse/Unspecified,Invasive plant species,Spain,2008,2020,318.76,Authorities-Stakeholders,Administration/Research,High
Panicum repens,Torpedograss,United States of America,2006,2006,4509.85,Authorities-Stakeholders,Control/Management,High
Crassula helmsii,Australian swamp stonecrop,United Kingdom,,,,Authorities-Stakeholders,Control/Eradication,High
Acacia sp.,Wattles,South Africa,2007,2010,123.51,Authorities-Stakeholders,Control,High
Diverse/Unspecified,Pines and hakeas,South Africa,2004,2004,1045.59,Authorities-Stakeholders,Control,High
Salvinia molesta,Kariba weed,Sri Lanka,1980,1980,4950.30,Authorities-Stakeholders,Control,Low
Eichhornia crassipes,water hyacinth,South Africa,1989,1989,1749.56,Authorities-Stakeholders,Control,High
Neovison vison,American mink,Spain,2010,2010,5946.13,Authorities-Stakeholders,Control,High
Opuntia sp.,Prickly pear,Spain,1999,2009,579.49,Authorities-Stakeholders,Control,High
Acacia saligna,Port Jackson willow,South Africa,1997,1997,1325.59,Authorities-Stakeholders,Control,High
Centaurea diffusa/Centaurea affinis/Rhaponticum repens,Diffuse knapweed/Spotted knapweed/Russian knapweed,United States of America,1994,1994,6614.80,Public and social welfare,Damage-Loss,High
Cortaderia selloana,Pampas grass,Spain,2014,2014,4529.11,Authorities-Stakeholders,Control,High
Arundo donax,Pampas grass,Spain,2015,2015,4529.11,Authorities-Stakeholders,Control,High
Diverse/Unspecified,Diverse/Unspecified,Spain,2019,2019,4529.11,Authorities-Stakeholders,Control,High
Eucalyptus sp.,Gum trees,South Africa,2007,2010,133.65,Authorities-Stakeholders,Control,High
Diverse/Unspecified,Invasive plant species,Spain,2008,2020,358.32,Authorities-Stakeholders,Education/Information,High
Aristolochia odoratissima,NA,Ecuador,2002,2002,5622.59,Agriculture,Control,High
Tamarix spp.,saltcedar,United States of America,,,,Authorities-Stakeholders,Control,Low
Diverse/Unspecified,Invasive plant species,Spain,2008,2020,365.49,Authorities-Stakeholders,Administration/Research,High
Cenchrus purpureus,Elephant Grass,Ecuador,1999,1999,4530.34,Authorities-Stakeholders,Control,Low
Jatropha curcas,Physic nut,Australia,2005,2009,1005.97,Authorities-Stakeholders,Eradication,High
Eichhornia crassipes,water hyacinth,South Africa,1988,1988,1979.73,Authorities-Stakeholders,Control,High
Neovison vison,American mink,Spain,2020,2020,5068.82,Authorities-Stakeholders,Control,High
Eucalyptus sp.,Eucalyptus,South Africa,2001,2001,1228.92,Authorities-Stakeholders,Control,High
Salvinia molesta,Kariba weed,Zimbabwe,1990,1990,3489115.89,Authorities-Stakeholders,Control,High
Ascophyllum nodosum,Knotted wrack,United States of America,2002,2002,6377.54,Authorities-Stakeholders,Eradication/Management,Low
Acacia sp.,Wattles,South Africa,2007,2010,155.36,Authorities-Stakeholders,Control,High
Eucalyptus sp.,Eucalyptus,South Africa,2001,2001,1301.82,Authorities-Stakeholders,Control,High
Neovison vison,American mink,Spain,2011,2011,7259.69,Authorities-Stakeholders,Control,High
Eichhornia crassipes,water hyacinth,South Africa,2000,2000,2128.75,Authorities-Stakeholders,Control,High
Diverse/Unspecified,Diverse/Unspecified,Spain,2019,2019,5480.22,Authorities-Stakeholders,Control/Eradication,High
Pinus monophylla/Juniperus osteosperma,single-leaf pinyon and Utah juniper,United States of America,2006,2010,6006.65,Environment,Control,High
Sporobolus pyramidalis/Sporobolus fertilis,giant rats tail grass/giant parramatta grass,Australia,2008,2058,4774.83,Agriculture/Authorities-Stakeholders,Control/Prevention,High
Cytisus scoparius,Scotch broom,Australia,2005,2005,4792.56,Authorities-Stakeholders,Control,High
Myriophyllum spicatum,Eurasian watermilfoil,Canada,1980,2009,5359.58,Authorities-Stakeholders,Control,High
Diverse/Unspecified,Invasive species,Spain,2017,2017,5661.39,Authorities-Stakeholders,Monitoring/Prevention/Research,High
Diverse/Unspecified,Invasive plant species,Spain,2008,2020,438.59,Authorities-Stakeholders,Administration/Control/Research,High
Eichhornia crassipes,water hyacinth,South Africa,1987,1987,2256.92,Authorities-Stakeholders,Control,High
Eucalyptus sp.,Gum trees,South Africa,2007,2010,165.51,Authorities-Stakeholders,Control,High
Diverse/Unspecified,Trees (Acacias and pines),South Africa,1996,1996,6322.79,Authorities-Stakeholders,Damage repair,High
Acacia saligna,Port Jackson willow,South Africa,1992,1996,1690.57,Authorities-Stakeholders,Control,High
Kalanchoe delagoensis/Bryophyllum houghtonii/Bryophyllum pinnatum,mother of millions,Australia,2015,2065,4148.89,Agriculture/Environment,Management,High
Eichhornia crassipes,Water hyacinth,Central African Republic,2006,2006,6602.45,Authorities-Stakeholders,Control,High
Diverse/Unspecified,Diverse/Unspecified,Spain,2019,2019,6165.25,Authorities-Stakeholders,Outreach,High
Diverse/Unspecified,Diverse/Unspecified,Spain,2020,2020,6165.25,Authorities-Stakeholders,Outreach,High
Lepidium latifolium,Perennial pepperweed,United States of America,2005,2005,6934.68,Agriculture,Damage-Loss,Low
Diverse/Unspecified,Invasive fish and crayfish,Spain,2008,2020,481.93,Authorities-Stakeholders,Control,High
Eichhornia crassipes,water hyacinth,South Africa,1992,1992,2547.04,Authorities-Stakeholders,Control,High
Acacia saligna,Port Jackson willow,South Africa,1992,1996,1862.67,Authorities-Stakeholders,Control,High
Onopordum acanthium,Scotch thistle,United States of America,2012,2012,6405.73,Public and social welfare,Damage-Loss,High
Fallopia baldschuanica,Silver lace vine/Bukhara fleeceflower/Russian vine/Silver lace vine/Chinese fleece vine,Spain,1999,2009,869.24,Authorities-Stakeholders,Control,High
Pittosporum tobira,Austrian laurel/Japanese Pittosporum/Mockorange/Mock Orange/Pittosporum,Spain,1999,2009,869.24,Authorities-Stakeholders,Control,High
Centaurea diffusa/Centaurea affinis/Rhaponticum repens,Diffuse knapweed/Spotted knapweed/Russian knapweed,United States of America,1994,1994,9922.20,Public and social welfare,Damage-Loss,High
Sargassum muticum,wireweed,United Kingdom,2010,2013,2605.42,Authorities-Stakeholders,Research,High
Eichhornia crassipes,water hyacinth,South Africa,1995,1995,2681.30,Authorities-Stakeholders,Control,High
Diverse/Unspecified,Diverse/Unspecified,Spain,2017,2017,6834.57,Authorities-Stakeholders,Control/Eradication,High
Rattus norvegicus,brown rat,United Kingdom,2010,2010,10515.47,Authorities-Stakeholders,Research,High
Eichhornia crassipes,water hyacinth,South Africa,1986,1986,2695.97,Authorities-Stakeholders,Control,High
Eichhornia crassipes,water hyacinth,South Africa,1998,1998,2749.83,Authorities-Stakeholders,Control,High
Mikania micrantha,mile-a-minute weed,India,1997,1999,66.24,Agriculture/Environment/Health/Public and social welfare,Control,High
Salvinia molesta,Kariba weed,Zimbabwe,1992,1993,2185225.73,Authorities-Stakeholders,Control,High
Jatropha gossypiifolia,bellyache bush,Australia,2015,2065,4965.46,Agriculture/Environment,Management,High
Neovison vison,American mink,Spain,2018,2018,7371.96,Authorities-Stakeholders,Control,High
Dreissena polymorpha,Zebra mussel,Spain,2009,2009,10258.39,Authorities-Stakeholders,Outreach,High
Dreissena polymorpha,Zebra mussel,Spain,2013,2013,8995.72,Authorities-Stakeholders,Outreach,High
Hymenachne amplexicaulis,West Indian marsh grass,United States of America,2007,2007,7648.81,Authorities-Stakeholders,Control/Management,High
Diverse/Unspecified,Diverse/Unspecified,Spain,2017,2017,7381.34,Authorities-Stakeholders,Outreach,High
Carex strigosa,Carex strigosa,Spain,2008,2020,591.23,Authorities-Stakeholders,Control,High
Phytophthora ramorum,Sudden Oak Death,United States of America,2010,2020,715.35,Public and social welfare,Control/Eradication,High
Diverse/Unspecified,Diverse/Unspecified,United Kingdom,2010,2010,12158.62,Authorities-Stakeholders,Research,High
Diverse/Unspecified,Diverse/Unspecified,Diverse/Unspecified,2016,2016,7169.53,Authorities-Stakeholders,Eradication,High
Eichhornia crassipes,water hyacinth,South Africa,1985,1985,3156.31,Authorities-Stakeholders,Control,High
Diverse/Unspecified,Diverse/Unspecified,Spain,2020,2020,8151.83,Authorities-Stakeholders,Control/Eradication,High
Crassula helmsii,Australian swamp stonecrop,United Kingdom,,,,Authorities-Stakeholders,Control/Eradication,High
Neovison vison,American mink,Spain,2016,2016,8207.29,Authorities-Stakeholders,Control/Eradication,High
Diverse/Unspecified,Diverse/Unspecified,Spain,2018,2018,8369.30,Authorities-Stakeholders,Control/Eradication,High
Tamarix sp.,NA,United States of America,1998,2018,11127.56,Agriculture/Public and social welfare,Damage repair/Eradication,High
Didemnum vexillum,compound sea squirt,United Kingdom,2010,2010,12973.25,Authorities-Stakeholders,Monitoring/Research,High
Eichhornia crassipes,water hyacinth,South Africa,1984,1984,3411.32,Authorities-Stakeholders,Control,High
Azolla filiculoides,Red water fern,South Africa,2000,2000,11302.26,Agriculture/Authorities-Stakeholders/Public and social welfare,Damage-Loss,High
Onopordum acanthium,Scotch thistle,United States of America,2012,2012,8540.98,Agriculture/Environment/Forestry,Damage-Loss,High
Diverse/Unspecified,Diverse/Unspecified,United Kingdom,2010,2010,13970.26,Authorities-Stakeholders,Communication/Research,High
Diverse/Unspecified,NA,South Africa,,,,Authorities-Stakeholders,Control,High
Eichhornia crassipes,water hyacinth,South Africa,1998,1998,3672.36,Authorities-Stakeholders,Control,High
Diverse/Unspecified,Invasive plant species,Spain,2008,2020,730.98,Authorities-Stakeholders,Administration/Research,High
Eichhornia crassipes,water hyacinth,South Africa,1983,1983,3774.53,Authorities-Stakeholders,Control,High
Diverse/Unspecified,Diverse/Unspecified,Spain,2017,2018,4958.81,Authorities-Stakeholders,Outreach,High
Diverse/Unspecified,Diverse/Unspecified,Spain,2018,2018,10182.65,Authorities-Stakeholders,Outreach,High
Eichhornia crassipes,waterhyacinth,Australia,2003,2009,1459.87,Authorities-Stakeholders,Eradication,High
Lantana camara,lantana,India,2009,2009,212.43,Forestry,Control/Damage repair,High
Arundo donax,Pampas grass,Spain,2014,2014,10190.50,Authorities-Stakeholders,Control,High
Neovison vison,American mink,Spain,2012,2012,12345.02,Authorities-Stakeholders,Control,High
Diverse/Unspecified,Diverse/Unspecified,Spain,2016,2016,10400.43,Authorities-Stakeholders,Control,High
Eichhornia crassipes,water hyacinth,South Africa,1993,1993,4132.43,Authorities-Stakeholders,Control,High
Neovison vison,American mink,Spain,2013,2013,13231.69,Authorities-Stakeholders,Control,High
Aleurodicus rugioperculatus,Rugose Spiralling Whitefly,India,2020,2020,133.18,Agriculture/Environment/Health/Public and social welfare,Control,High
Squirrelpox virus,Squirrelpox virus,United Kingdom,2010,2010,16591.31,Authorities-Stakeholders,Monitoring/Research,High
Sporobolus pyramidalis/Sporobolus fertilis,giant rats tail grass/giant parramatta grass,Australia,2008,2058,9549.66,Agriculture/Authorities-Stakeholders,Control,High
Neovison vison,American mink,Spain,2018,2018,11527.96,Authorities-Stakeholders,Control/Eradication,High
Diverse/Unspecified,Invasive fauna,Spain,2018,2018,11527.96,Authorities-Stakeholders,Control,High
Clematis vitalba,old man's beard,New Zealand,1990,1990,18760.35,Authorities-Stakeholders,Control,Low
Psittacula krameri/Myiopsitta monachus,ring-necked parakeet/monk parakeet,United Kingdom,2010,2010,17369.46,Authorities-Stakeholders/Public and social welfare,Damage-Loss,High
Ludwigia spp.,water primrose,United Kingdom,2010,2010,17369.46,Authorities-Stakeholders,Research,High
Rattus norvegicus,brown rat,United Kingdom,2010,2010,17369.46,Health/Public and social welfare,Damage-Loss/Medical,High
Eupatorium serotinum,late boneset,Australia,1992,2009,634.96,Authorities-Stakeholders,Eradication,High
Rastrococcus invadens,Fruit tree mealybug,Togo,1990,1990,18835.39,Agriculture,Control,High
Eichhornia crassipes,water hyacinth,South Africa,1991,1991,4474.56,Authorities-Stakeholders,Control,High
Neovison vison,American mink,Spain,2014,2014,14040.37,Authorities-Stakeholders,Control,High
Neovison vison,American mink,Spain,2016,2016,11849.29,Authorities-Stakeholders,Control/Eradication,High
Diverse/Unspecified,Invasive plant species,Spain,2008,2020,913.72,Authorities-Stakeholders,Administration/Research,High
Procyon lotor,Raccoon,Spain,2017,2017,12008.51,Authorities-Stakeholders,Eradication/Monitoring,High
Eichhornia crassipes,water hyacinth,South Africa,1990,1990,4746.82,Authorities-Stakeholders,Control,High
Procyon lotor,Raccoon,Spain,2018,2018,12530.90,Authorities-Stakeholders,Eradication/Monitoring,High
Dreissena polymorpha,Zebra mussel,Spain,2020,2020,12408.34,Authorities-Stakeholders,Prevention,High
Syzygium jambos,Malabar plum,Ecuador,2007,2011,2600.83,Authorities-Stakeholders,Control,High
Spathodea campanulata,African tulip tree,Fiji,2012,2062,234.48,Agriculture/Forestry ,Damage-Loss,High
Eichhornia crassipes,water hyacinth,South Africa,1985,1985,5038.35,Authorities-Stakeholders,Control,High
Eichhornia crassipes,water hyacinth,South Africa,1982,1982,5166.65,Authorities-Stakeholders,Control,High
Miconia calvescens,miconia,United States of America,2010,2010,13288.17,Environment,Management,High
Eichhornia crassipes,water hyacinth,South Africa,1989,1989,5315.79,Authorities-Stakeholders,Control,High
Lythrum salicaria,Purple loosestrife,United States of America,2012,2012,12811.47,Public and social welfare,Damage-Loss,High
Crepidula porcellana,slipper limpet,United Kingdom,2010,2010,20843.35,Fishery,Research,High
Diverse/Unspecified,Diverse/Unspecified,United Kingdom,2010,2010,20843.35,Authorities-Stakeholders,Research,High
Eichhornia crassipes,water hyacinth,South Africa,1999,1999,5552.30,Authorities-Stakeholders,Control,High
Eichhornia crassipes,water hyacinth,South Africa,2000,2000,5552.30,Authorities-Stakeholders,Control,High
Colocasia esculenta,Wild taro,United States of America,2006,2006,15341.28,Authorities-Stakeholders,Control/Management,High
Neovison vison,American mink,Spain,2019,2019,14597.88,Authorities-Stakeholders,Control/Eradication,High
Centaurea diffusa/Centaurea affinis/Rhaponticum repens,Diffuse knapweed/Spotted knapweed/Russian knapweed,United States of America,1994,1994,21498.09,Public and social welfare,Damage-Loss,High
Diverse/Unspecified,Diverse/Unspecified,United Kingdom,2010,2010,23136.12,Authorities-Stakeholders,Education/Prevention,High
Carpobrotus sp.,Ice plant,Spain,2019,2019,15543.82,Authorities-Stakeholders,Control/Eradication,High
Eichhornia crassipes,water hyacinth,South Africa,1988,1988,6123.12,Authorities-Stakeholders,Control,High
Diverse/Unspecified,Signal crayfish/Exotic tortuoises,Spain,2017,2017,15719.51,Authorities-Stakeholders,Early detection/Education/Monitoring/Research,High
Neovison vison,American mink,Spain,2014,2014,19257.65,Authorities-Stakeholders,Control,High
Diverse/Unspecified,Diverse/Unspecified,Spain,2017,2017,15815.54,Authorities-Stakeholders,Control,High
Salvinia molesta,Kariba weed,Zimbabwe,1990,1990,10729509.05,Authorities-Stakeholders,Control,High
Ammotragus lervia,Arrui,Spain,2017,2018,8129.16,Authorities-Stakeholders,Administration/Control,High
Ammotragus lervia,Arrui,Spain,2016,2017,7966.16,Authorities-Stakeholders,Administration/Control,High
Ammotragus lervia,Arrui,Spain,2018,2019,7568.80,Authorities-Stakeholders,Administration/Control,High
Ammotragus lervia,Arrui,Spain,2019,2020,7628.32,Authorities-Stakeholders,Administration/Control,High
Panicum maximum/Diverse/Unspecified,"Guinea grass, feral ungulates (probably mostly pigs and goats), Leucaena leucocephala",United States of America,2010,2013,3696.96,Environment,Management,High
Rubus ulmifolius,elmleaf blackberry,Ecuador,2002,2011,1714.19,Authorities-Stakeholders,Control,High
Nymphaea mexicana,Mexican nenuphar,Spain,2019,2019,16577.16,Authorities-Stakeholders,Control,High
Senecio jacobaea,tansy ragwort,United States of America,2000,2000,20879.29,Agriculture/Environment/Public and social welfare,Management,High
Arctotheca calendula,Cape weed,Spain,1999,2009,2173.11,Authorities-Stakeholders,Control,High
Sargassum muticum,wireweed,United Kingdom,2010,2010,26054.19,Authorities-Stakeholders,Damage repair,High
Rhododendron ponticum,rhododendron,United Kingdom,2010,2010,26054.19,Authorities-Stakeholders,Research,High
Neovison vison,American mink,Spain,2016,2017,17035.01,Authorities-Stakeholders,Control,High
Cytisus scoparius,Scotch broom,Australia,2002,2002,11441.14,Authorities-Stakeholders,Control,High
Eichhornia crassipes,water hyacinth,South Africa,1987,1987,6929.51,Authorities-Stakeholders,Control,High
Alternanthera philoxeroides,Alligator-weed,Australia,1977,1979,18013.15,Authorities-Stakeholders,Avoided costs,High
